Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Anguilla,Americas,2506,16704.439,48,319.957,9,9,59.992,0,0,0
Saint Pierre and Miquelon,Americas,965,16652.286,44,759.275,0,1,17.256,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Sint Eustatius,Americas,437,13921.631,16,509.716,1,3,95.572,0,0,0
Tonga,Western Pacific,210,198.685,137,129.618,69,0,0,0,0,0
Saba,Americas,205,10605.277,5,258.665,1,0,0,0,0,0
Montserrat,Americas,163,3260.652,0,0,0,2,40.008,0,0,0
Falkland Islands (Malvinas),Americas,105,3014.643,7,200.976,0,0,0,0,0,0
American Samoa,Western Pacific,57,103.266,0,0,0,0,0,0,0,0
Samoa,Western Pacific,33,16.632,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,11,3.581,4,1.302,4,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,3,17.08,3,17.08,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
